NP_963295.1,C5A1H2.1,43.750,16,9,0,35,50,48,63,0.91,25.0,75.00
NP_963295.1,B6YUU6.1,58.333,12,5,0,35,46,48,59,1.8,24.3,83.33
NP_963295.1,Q5JIE1.1,37.500,16,10,0,35,50,48,63,1.8,24.3,75.00
NP_963295.1,P95474.1,26.897,145,75,7,99,236,163,283,5.7,24.3,37.93
NP_963296.1,O59025.1,27.157,394,212,14,33,387,26,383,3.84e-23,100,44.42
NP_963299.1,Q5JD38.1,31.348,319,178,12,8,297,10,316,1.55e-26,103,47.34
NP_963300.1,C6A382.1,47.297,74,38,1,50,123,98,170,1.40e-15,65.9,62.16
NP_963300.1,C5A3L5.1,46.377,69,36,1,50,118,97,164,9.56e-15,63.5,60.87
NP_963300.1,O74023.1,43.478,69,38,1,50,118,97,164,2.52e-14,62.4,60.87
NP_963300.1,F0LIT8.1,40.580,69,40,1,50,118,98,165,1.04e-11,55.5,60.87
NP_963300.1,Q8TZV2.1,47.826,46,24,0,53,98,103,148,1.48e-09,49.7,63.04
NP_963300.1,F4HK38.1,40.299,67,36,2,32,98,85,147,3.21e-09,48.9,61.19
NP_963300.1,O59499.2,40.385,52,31,0,50,101,98,149,3.40e-09,48.9,61.54
NP_963300.1,Q9V1N7.1,35.821,67,39,2,32,98,84,146,1.88e-07,43.9,59.70
NP_963302.1,O59545.2,39.806,412,230,6,1,397,2,410,1.45e-98,297,60.68
NP_963302.1,Q9UXX9.1,39.130,414,237,6,1,402,2,412,2.21e-96,291,60.14
NP_963302.1,O58549.1,21.782,202,139,8,131,327,194,381,0.002,35.8,44.06
NP_963305.1,O58810.2,50.980,102,47,2,9,109,15,114,8.13e-35,112,69.61
NP_963305.1,P82385.1,50.459,109,46,2,9,109,15,123,8.91e-33,107,66.97
NP_963305.1,Q5JF09.1,49.020,102,49,2,9,109,15,114,1.27e-32,107,67.65
NP_963305.1,Q9V098.2,50.980,102,47,2,9,109,15,114,2.59e-30,100,70.59
NP_963306.1,C6A439.1,52.941,17,8,0,64,80,79,95,1.4,26.2,70.59
NP_963306.1,O59439.1,52.941,17,8,0,149,165,199,215,5.3,24.6,70.59
NP_963306.1,Q9V1V5.1,26.531,49,35,1,117,165,168,215,10.0,23.9,48.98
NP_963309.1,Q8U3C9.1,29.478,268,142,9,1,259,2,231,1.31e-21,88.6,44.03
NP_963309.1,Q9UZ51.1,29.478,268,142,9,1,259,2,231,6.58e-21,86.7,44.40
NP_963309.1,O58498.1,32.051,234,114,8,33,259,36,231,7.96e-21,86.7,44.44
NP_963309.1,B6YTN5.1,30.047,213,110,6,34,242,40,217,4.92e-18,78.6,44.60
